ラプラスex,Lapras ex
幻の石板,Losa Singular
ポケモンの笛,Pokéflauta
ペラップ,Chatot
クリムガン,Druddigon
ペンドラー,Scolipede
ホイーガ,Whirlipede
フシデ,Venipede
レパルダス,Liepard
チョロネコ,Purrloin
イシヘンジン,Stonjourner
ペロリーム,Slurpuff
ペロッパフ,Swirlix
フラージェス,Florges
フラエッテ,Floette
フラベベ,Flabebe
オーベム,Beheeyem
リグレー,Elgyem
シンボラー,Sigilyph
デンチュラ,Galvantula
バチュル,Joltik
ウッウ,Cramorant
カジリガメ,Drednaw
カムカメ,Chewtle
ネオラント,Lumineon
ケイコウオ,Finneon
ウルガモス,Volcarona
メラルバ,Larvesta
ダダリン,Dhelmise
マシェード,Shiinotic
ネマシュ,Morelull
ジャノビー,Servine
ツタージャ,Snivy
ディアルガex,Dialga ex
パルキアex,Palkia ex
ベロベルトex,Lickilicky ex
ダークライex,Darkrai ex
マニューラex,Weavile ex
エルレイドex,Gallade ex
ムウマージex,Mismagius ex
パチリスex,Pachirisu ex
ゴウカザルex,Infernape ex
メガヤンマex,Yanmega ex
マーズ,Venus
ヒカリ,Maya
デンジ,Lectro
シロナ,Cintia
ギンガ団のしたっぱ,Recluta del Equipo Galaxia
アカギ,Helio
レジギガス,Regigigas
ニャルマー,Glameow
ビッパ,Bidoof
ムクホーク,Staraptor
ガブリアス,Garchomp
ヒードラン,Heatran
グレッグル,Croagunk
ミカルゲ,Spiritomb
ヒポポタス,Hippopotas
ルカリオ,Lucario
ドサイドン,Rhyperior
クレセリア,Cresselia
ギラティナ,Giratina
エムリット,Mesprit
フワンテ,Drifloon
ロトム,Rotom
コリンク,Shinx
マナフィ,Manaphy
トリトドン,Gastrodon
マンムー,Mamoswine
シェイミ,Shaymin
マスキッパ,Carnivine
ミツハニー,Combee
モジャンボ,Tangrowth
ラムのみ,Baya Ziuela
ゴツゴツメット,Casco Dentado
大きなマント,Capa Gigante
ポケモン通信,Comunicación Pokémon
たての化石,Fósil Coraza
ずがいの化石,Fósil Cráneo
スピンロトム,Rotom Ventilador
ブニャット,Purugly
ミミロップ,Lopunny
ミミロル,Buneary
ビーダル,Bibarel
ムクバード,Staravia
ムックル,Starly
エテボース,Ambipom
エイパム,Aipom
ポリゴンZ,Porygon-Z
ポリゴン2,Porygon2
ガバイト,Gabite
フカマル,Gible
ダイノーズ,Probopass
ドータクン,Bronzong
ドーミラー,Bronzor
ミノマダム（ゴミのミノ）,Wormadam
トリデプス,Bastiodon
タテトプス,Shieldon
レジスチル,Registeel
エアームド,Skarmory
ダークライ,Darkrai
ドクロッグ,Toxicroak
ドラピオン,Drapion
スコルピ,Skorupi
スカタンク,Skuntank
スカンプー,Stunky
グラエナ,Mightyena
ポチエナ,Poochyena
ニューラ,Sneasel
ドンカラス,Honchkrow
ヤミカラス,Murkrow
カバルドン,Hippowdon
リオル,Riolu
ミノマダム（すなちのミノ）,Wormadam
ラムパルド,Rampardos
ズガイドス,Cranidos
レジロック,Regirock
ノズパス,Nosepass
カポエラー,Hitmontop
グライオン,Gliscor
グライガー,Gligar
アグノム,Azelf
ユクシー,Uxie
フワライド,Drifblim
ヨノワール,Dusknoir
サマヨール,Dusclops
ヨマワル,Duskull
ムウマ,Misdreavus
トゲキッス,Togekiss
トゲチック,Togetic
トゲピー,Togepi
レントラー,Luxray
ルクシオ,Luxio
エレキブル,Electivire
ジバコイル,Magnezone
フロストロトム,Rotom Frío
ウォッシュロトム,Rotom Lavado
グレイシア,Glaceon
ユキノオー,Abomasnow
ユキカブリ,Snover
カラナクシ,Shellos
フローゼル,Floatzel
ブイゼル,Buizel
エンペルト,Empoleon
ポッタイシ,Prinplup
ポッチャマ,Piplup
レジアイス,Regice
イノムー,Piloswine
ウリムー,Swinub
ヒートロトム,Rotom Calor
モウカザル,Monferno
ヒコザル,Chimchar
マグカルゴ,Magcargo
マグマッグ,Slugma
ブーバーン,Magmortar
カットロトム,Rotom Corte
リーフィア,Leafeon
ビークイン,Vespiquen
ミノマダム,Wormadam
ミノムッチ,Burmy
コロトック,Kricketune
コロボーシ,Kricketot
ドダイトス,Torterra
ハヤシガメ,Grotle
ナエトル,Turtwig
ロズレイド,Roserade
ロゼリア,Roselia
ヤンヤンマ,Yanma
キレイハナ,Bellossom
クレセリアex,Cresselia ex
アルセウスex,Arceus ex
ダイノーズex,Probopass ex
ガブリアスex,Garchomp ex
グレイシアex,Glaceon ex
リーフィアex,Leafeon ex
セキ,Adamas
ジュン,Israel
カンナギタウンの長老,Anciana de Pueblo Caelestis
カイ,Nákara
ウソッキー,Sudowoodo
アンノーン,Unown
マリル,Marill
ヘルガー,Houndoom
アルセウス,Arceus
ヨルノズク,Noctowl
ホーホー,Hoothoot
オリジンディアルガ,Dialga Origen
クロバット,Crobat
チャーレム,Medicham
アサナン,Meditite
バンギラス,Tyranitar
サナギラス,Pupitar
ヨーギラス,Larvitar
ドンファン,Donphan
ゴマゾウ,Phanpy
ライボルト,Manectric
ラクライ,Electrike
フィオネ,Phione
オリジンパルキア,Palkia Origen
ユキメノコ,Froslass
ユキワラシ,Snorunt
ナマズン,Whiscash
ドジョッチ,Barboach
マリルリ,Azumarill
デルビル,Houndour
チェリム（ポジ）,Cherrim
チェリム（ネガ）,Cherrim
チェリンボ,Cherubi
ガーメイル,Mothim
ヘラクロス,Heracross
ニャオハ,Tinkatink
パチリス,Pachirisu
パーモット,Pawmot
モトトカゲ,Cyclizar
ルカリオex,Lucario ex
ウミトリオex,Wugtrio ex
スピアーex,Beedrill ex
ブロロローム,Revavroom
ブロロン,Varoom
ヘイラッシャ,Dondozo
ウミディグダ,Wiglett
ギラティナex,Giratina ex
ビーダルex,Bibarel ex
デカヌチャンex,Tinkaton ex
パルデアドオーex,Clodsire de Paldea ex
ロケット団のしたっぱ,Recluta del Team Rocket
レッド,Rojo
ポケモンセンターのお姉さん,Chica del Centro Pokémon
ナンジャモ,e-Nigma
サーフゴー,Gholdengo
タギングル,Grafaiai
シャリタツ,Tatsugiri
マスカーニャ,Meowscarada
ベロベルト,Lickilicky
ナカヌチャン,Tinkatuff
カヌチャン,Tinkatink
シルシュルー,Shroodle
パルデアウパー,Wooper de Paldea
カラミンゴ,Flamigo
コレクレー,Gimmighoul
パモット,Pawmo
パモ,Pawmi
パルデアケンタロス,Tauros de Paldea
ニャローテ,Floragato
ニャオハ,Sprigatito
ドデカバシ,Toucannon
アローラベトベター,Grimer de Alola
マケンカニ,Crabrawler
アローラナッシー,Exeggutor de Alola
ミミッキュ,Mimikyu
レックウザex,Rayquaza ex
レックウザ,Rayquaza
ソルガレオex,Solgaleo ex
ルナアーラex,Lunala ex
リーリエ,Lylía
グズマ,Guzmán
アローラベトベトンex,Muk de Alola ex
ナゲツケサルex,Passimian ex
ヨワシex,Wishiwashi ex
ケケンカニex,Crabominable ex
ガオガエンex,Incineroar ex
ダダリンex,Dhelmise ex
ジュナイパーex,Decidueye ex
マオ,Lulú
マーマネ,Chris
スイレン,Capitana Nereida
カキ,Kiawe
イリマ,Liam
アセロラ,Zarala
ネッコアラ,Komala
キテルグマ,Bewear
ツツケラ,Pikipek
ジジーロン,Drampa
マギアナ,Magearna
メテノ,Minior
バンバドロ,Mudsdale
イワンコ,Rockruff
コスモッグ,Cosmog
カプ・テテフ,Tapu Lele
スナバァ,Sandygast
キュワワー,Comfey
アブリー,Cutiefly
カプ・コケコ,Tapu Koko
オドリドリ（ぱちぱち）,Oricorio
カプ・レヒレ,Tapu Fini
バクガメス,Turtonator
アローラガラガラ,Marowak de Alola
カプ・ブルル,Tapu Bulu
アマージョ,Tsareena
リーフマント,Capa Hoja
どくバリ,Flecha Venemosa
ロトム図鑑,RotomDex ex
ふしぎなアメ,Caramelo Raro
おさかなネット,Red de Pesca
おおきいマラサダ,Malasada Maxi
ヤレユータン,Oranguru
ヌイコグマ,Stufful
デカグース,Gumshoos
ヤングース,Yungoos
ケララッパ,Trumbeak
ルチャブル,Hawlucha
ヤヤコマ,Fletchling
エネコロロ,Delcatty
エネコ,Skitty
ジャラランガ,Kommo-o
ジャランゴ,Hakamo-o
ジャラコ,Jangmo-o
クレッフィ,Klefki
シュバルゴ,Escavalier
ドリュウズ,Excadrill
アローラダグトリオ,Dugtrio de Alola
アローラディグダ,Diglett de Alola
ドヒドイデ,Toxapex ex
ヒドイデ,Mareanie
ダストダス,Garbodor
ヤブクロン,Trubbish
アブソル,Absol
アローラペルシアン,Persian de Alola
アローラニャース,Meowth de Alola
アローララッタ,Raticate de Alola
アローラコラッタ,Rattata de Alola
ドロバンコ,Mudbray
ルガルガン,Lycanroc
ローブシン,Conkeldurr
ドテッコツ,Gurdurr
ドッコラー,Timburr
モグリュー,Drilbur
ソルロック,Solrock
ハリテヤマ,Hariyama
マクノシタ,Makuhita
ネクロズマ,Necrozma
コスモウム,Cosmoem
シロデスナ,Palossand
アブリボン,Ribombee
オドリドリ（まいまい）,Oricorio
オドリドリ（ふらふら）,Oricorio
ジュペッタ,Banette
カゲボウズ,Shuppet
ルナトーン,Lunatone
ブーピッグ,Grumpig
バネブー,Spoink
ヤミラミ,Sableye
トゲデマル,Togedemaru
クワガノン,Vikavolt
デンヂムシ,Charjabug
オニシズクモ,Araquanid
シズクモ,Dewpider
ヨワシ,Wishiwashi
アシレーヌ,Primarina
オシャマリ,Brionne
アシマリ,Popplio
アローラサンドパン,Sandslash de Alola
アローラサンド,Sandshrew de Alola
オドリドリ（めらめら）,Oricorio
ニャヒート,Torracat
ニャビー,Litten
ファイアロー,Talonflame
ヒノヤコマ,Fletchinder
グソクムシャ,Golisopod
コソクムシ,Wimpod
アママイコ,Steenee
アマカジ,Bounsweet
ラランテス,Lurantis
カリキリ,Fomantis
アゴジムシ,Grubbin
フクスロー,Dartrix
モクロー,Rowlet
オーロット,Trevenant
ボクレー,Phantump
カブルモ,Karrablast
マラカッチ,Maractus
アメモース,Masquerain
アメタマ,Surskit
ベベノム,Poipole
ウルトラネクロズマex,Bulbasaur ex
ツンデツンデ,Stakataka
ネクロズマ（たそがれのたてがみ）,Necrozma Melena Crepuscular
ネクロズマ（あかつきのつばさ）,Necrozma Alas del Alba
デンジュモク,Xurkitree
ズガドーン,Blacephalon
カミツルギ,Kartana
ゼラオラ,Zeraora
ウツロイド,Nihilego
マッシブーンex,Buzzwole ex
アローラダグトリオex,Dugtrio de Alola ex
アクジキングex,Guzzlord ex
ルガルガンex,Lycanroc ex
カプ・コケコex,Tapu Koko ex
ルザミーネ,Samina
ハンサム,Handsome
グラジオ,Gladio
テッカグヤ,Celesteela
シルヴァディ,Silvally
フェローチェ,Pheromosa
ビーストナイト,Entita
エレキコード,Cable Eléctrico
むしよけスプレー,Repelente
ビーストウォール,Muro Ente
タイプ：ヌル,Type: Null
ムーランド,Stoutland
ハーデリア,Herdier
ヨーテリー,Lillipup
ナットレイ,Ferrothorn
テッシード,Ferroseed
ボスゴドラ,Aggron
コドラ,Lairon
ココドラ,Aron
アーゴヨン,Naganadel
ワルビアル,Krookodile
ワルビル,Krokorok
メグロコ,Sandile
ナゲツケサル,Passimian
ネンドール,Claydol
ヤジロン,Baltoy
エモンガ,Emolga
サメハダー,Sharpedo
キバニア,Carvanha
マンタイン,Mantine
ジュナイパー,Decidueye
イーブイのバッグ,Mochila de Eevee
イーブイex,Eevee ex
カビゴンex,Snorlax ex
カイリューex,Dragonite ex
ニンフィアex,Sylveon ex
アシレーヌex,Primarina ex
ブースターex,Flareon ex
ボタン,Noa
ハウ,Tilo
ブラッキー,Umbreon
ニンフィア,Sylveon
エーフィ,Espeon
たべのこし,Restos
ヨクバリス,Greedent
ホシガリス,Skwovet
タブンネ,Audino
メレシー,Carbink
マホイップ,Alcremie
マホミル,Milcery
ママンボウ,Alomomola
バイバニラ,Vanilluxe
バニリッチ,Vanillish
バニプッチ,Vanillite
ガオガエン,Incineroar
コータス,Torkoal
タルップル,Appletun
カジッチュ,Applin
トロピウス,Tropius
ルギアex,Lugia ex
ホウオウex,Ho-Oh ex
エアームドex,Skarmory ex
ブラッキーex,Umbreon ex
クロバットex,Crobat ex
ドンファンex,Donphan ex
エーフィex,Espeon ex
ランターンex,Lanturn ex
キングドラex,Kingdra ex
ツボツボex,Shuckle ex
やまおとこ,Montañero
ミカン,Yasmina
釣り人,Pescador
シルバー,Plata
コトネ,Lira
イツキ,Mento
ハピナス,Blissey
ドーブル,Smeargle
オドシシ,Stantler
オタチ,Sentret
ハッサム,Scizor
イトマル,Spinarak
ソーナンス,Wobbuffet
ネイティオ,Xatu
デンリュウ,Ampharos
ピチュー,Pichu
デリバード,Delibird
オクタン,Octillery
ハリーセン,Qwilfish
ワニノコ,Totodile
ブビィ,Magby
ヒノアラシ,Cyndaquil
チコリータ,Chikorita
レスキュースカーフ,Bufanda Rescatadora
ダークペンダント,Colgante Sombrío
鋼鉄のまえかけ,Peto de Acero
ゼニガメじょうろ,Squirgadera
エレメンタルつけかえ,Permuta Elemental
バッフロン,Bouffalant
リングマ,Ursaring
ヒメグマ,Teddiursa
ノコッチ,Dunsparce
オオタチ,Furret
ギギギアル,Klinklang
ギギアル,Klang
ギアル,Klink
ハガネール,Steelix
フォレトス,Forretress
マニューラ,Weavile
アリアドス,Ariados
ガメノデス,Barbaracle
カメテテ,Binacle
バルキー,Tyrogue
ムシャーナ,Musharna
ムンナ,Munna
グランブル,Granbull
ブルー,Snubbull
キリンリキ,Girafarig
アンノーン（パワー）,Unown
アンノーン（ガード）,Unown
ネイティ,Natu
ピィ,Cleffa
ムチュール,Smoochum
ヤドキング,Slowking
ライコウ,Raikou
エレキッド,Elekid
モココ,Flaaffy
メリープ,Mareep
チョンチー,Chinchou
シザリガー,Crawdaunt
ヘイガニ,Corphish
スイクン,Suicune
テッポウオ,Remoraid
サニーゴ,Corsola
ヌオー,Quagsire
ウパー,Wooper
オーダイル,Feraligatr
アリゲイツ,Croconaw
ニョロトノ,Politoed
ヒヒダルマ,Darmanitan
ダルマッカ,Darumaka
エンテイ,Entei
バクフーン,Typhlosion
マグマラシ,Quilava
チェリム,Cherrim
クヌギダマ,Pineco
メガヤンマ,Yanmega
キマワリ,Sunflora
ヒマナッツ,Sunkern
ワタッコ,Jumpluff
ポポッコ,Skiploom
ハネッコ,Hoppip
レディアン,Ledian
レディバ,Ledyba
メガニウム,Meganium
ベイリーフ,Bayleef
ハピナスex,Blissey ex
タマンタ,Mantyke
スイクンex,Suicune ex
ニョロボンex,Poliwrath ex
ライコウex,Raikou ex
エンテイex,Entei ex
ワタッコex,Jumpluff ex
マツバ,Morti
旅の行商人,Buhonero
アカネ,Blanca
ルリリ,Azurill
ラティオス,Latios
ワンパチ,Yamper
マッギョ,Stunfisk
ミロカロス,Milotic
メモリーライト,Luz de la Memoria
ウォーターボード,Bote Inflable
ザングース,Zangoose
チルット,Swablu
ミルタンク,Miltank
ププリン,Igglybuff
チルタリス,Altaria
ドラミドロ,Dragalge
クズモー,Skrelp
カラマネロ,Malamar
マーイーカ,Inkay
ゾロアーク,Zoroark
ゾロア,Zorua
ハブネーク,Seviper
イワパレス,Crustle
イシズマイ,Dwebble
ジーランス,Relicanth
ブルンゲル,Jellicent
プルリル,Frillish
ラティアス,Latias
ガラルサニゴーン,Bulbasaur
ガラルサニーゴ,Bulbasaur
ムウマージ,Mismagius
パルスワン,Boltund
フリージオ,Cryogonal
ヒンバス,Feebas
アイアント,Durant
セレビィ,Celebi
フレイムパッチ,Refuerzo Fuego
アルセウスex,Arceus
ビーダルex,Bibarel
ディアルガex,Dialga
アローラダグトリオex,Dugtrio
ナゲツケサルex,Passimian
ルガルガンex,Lycanroc
カプ・コケコex,Tapu Koko
ピカチュウex,Pikachu
アシレーヌex,Primarina
パルキアex,Palkia
ガオガエンex,Incineroar
ジュナイパーex,Decidueye
アローラディグダ,Diglett
メガチルタリスex,Altaria
メガギャラドスex,Gyarados
メガバシャーモex,Blaziken
ケンタロスex,Tauros
メルメタルex,Melmetal
ドラミドロex,Dragalge
メガアブソルex,Absol
エビワラーex,Hitmonchan
イエッサンex（メス）,Indeedee
メガデンリュウex,Ampharos
サンダースex,Jolteon
ゲッコウガex,Greninja
ギャロップex,Rapidash
エルフーンex,Whimsicott
メガカイロスex,Pinsir
ルチア,Ariana
モノマネ娘,Imitadora
メリッサ,Fantina
ハルカ,Aura
ハラ,Kaudan
シズイ,Ciprián
ワシボン,Rufflet
ヌメラ,Goomy
アーマーガア,Corviknight
サザンドラ,Hydreigon
ヤンチャム,Pancham
アーケオス,Archeops
ゴチム,Gothita
デスカーン,Cofagrigus
コオリッポ,Eiscue
ケルディオ,Keldeo
ルンパッパ,Ludicolo
シャンデラ,Chandelure
ゴリランダー,Rillaboom
アゲハント,Beautifly
ラッキーミトン,Manoplas Suerte
ヘビーメット,Casco Pesado
オボンのみ,Baya Zidra
ふたの化石,Fósil Tapa
ヒットハンマー,Mazo Golpeador
はねの化石,Fósil Pluma
いたずらルーレット,Ruleta Jugarreta
アオガラス,Corvisquire
ココガラ,Rookidee
トリミアン,Furfrou
ウォーグル,Braviary
ミルホッグ,Watchog
ミネズミ,Patrat
パッチール,Spinda
バクオング,Exploud
ドゴーム,Loudred
ゴニョニョ,Whismur
マッスグマ,Linoone
ジグザグマ,Zigzagoon
ヌメルゴン,Goodra
ヌメイル,Sliggoo
ギルガルド,Aegislash
ニダンギル,Doublade
ヒトツキ,Honedge
コバルオン,Cobalion
オーロンゲ,Grimmsnarl
ギモー,Morgrem
ベロバー,Impidimp
ゴロンダ,Pangoro
ジヘッド,Zweilous
モノズ,Deino
セキタンザン,Coalossal
トロッゴン,Carkol
タンドン,Rolycoly
ケケンカニ,Crabominable
テラキオン,Terrakion
アーケン,Archen
フレフワン,Aromatisse
シュシュプ,Spritzee
ゴチルゼル,Gothitelle
ゴチミル,Gothorita
デスマス,Yamask
リーシャン,Chingling
ジラーチ,Jirachi
カマスジョー,Barraskewda
サシカマス,Arrokuda
クレベース,Avalugg
カチコール,Bergmite
アバゴーラ,Carracosta
プロトーガ,Tirtouga
ガマゲロゲ,Seismitoad
ガマガル,Palpitoad
オタマロ,Tympole
ヒヤッキー,Simipour
ヒヤップ,Panpour
ラブカス,Luvdisc
ホエルオー,Wailord
ホエルコ,Wailmer
ハスブレロ,Lombre
ハスボー,Lotad
カエンジシ,Pyroar
シシコ,Litleo
ランプラー,Lampent
ヒトモシ,Litwick
バオッキー,Simisear
バオップ,Pansear
バシャーモ,Blaziken
ワカシャモ,Combusken
アチャモ,Torchic
ホウオウ,Ho-Oh
バチンキー,Thwackey
サルノリ,Grookey
ビリジオン,Virizion
ヤナッキー,Simisage
ヤナップ,Pansage
キノガッサ,Breloom
キノココ,Shroomish
ダーテング,Shiftry
コノハナ,Nuzleaf
タネボー,Seedot
ドクケイル,Dustox
マユルド,Cascoon
カラサリス,Silcoon
ケムッソ,Wurmple
そうじゅくエキス,Extracto de Maduración
メガリザードンYex,MegaCharizardY ex
メガハガネールex,MegaSteelix ex
メガミミロップex,MegaLopunny ex
メガカメックスex,MegaBlastoise ex
メガフシギバナex,MegaVenusaur ex
セレナ,Serena
シトロン,Lem
ゼルネアス,Xerneas
ランクルス,Reuniclus
シトロンのリュック,Mochila de Lem
ゲノセクト,Genesect
ダブラン,Duosion
ユニラン,Solosis
ブロスター,Clawitzer
ウデッポウ,Clauncher
バスラオ,Basculin
